NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company
CAMDEN HOUSE OF PIZZA,CAMDEN,SC,29020,4439,45055,KERSHAW,,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,150299.301966096,138283.368431165,12015.9335349311,24317.9607254557,20026.5558915518,26134.6554384751,44344.5166170075,0.7362845232
LAIRDS BAR B Q PIT,NORTH,SC,29112,8875,45075,ORANGEBURG,,LSR - QUICK CASUAL,BBQ,BARBECUE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,150907.8312,135683.330240888,15224.5009591118,24391.4227006299,23134.7972246397,25696.3799256966,49862.2544639693,0.550392601
THE WATERHOLE SPORTS BAR,VALRICO,FL,33596,6142,12057,HILLSBOROUGH,,SPORTS BARS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,#NA
VILLAGE IDIOT PIZZA & PUB,COLUMBIA,SC,29205,2212,45079,RICHLAND,1760,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,166751.687053138,154485.588005497,12266.0990476409,22638.2982423271,27682.7978506642,23009.9982134677,64091.6950238204,0.5793415776
SEOUL RESTAURANT,COLUMBIA,SC,29206,5211,45079,RICHLAND,1760,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,KOREAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,158481.597386892,148809.612497914,9671.98488897855,23768.5829029719,30698.0389954537,22068.2150491439,58818.1009222004,0.4232095301
ASC FOODSTORE & FRESH SEAFOOD,SPARTANBURG,SC,29303,3641,45083,SPARTANBURG,3160,FSR - UPSCALE CASUAL DINING RESTAURANTS,"STEAK, SEAFOOD & FISH",SEAFOOD & FISH,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,52324.9801560341,49377.2784697278,2947.70168630638,4912.83614384397,9046.16895286469,7002.4291170256,25468.1425696871,0.7862315943
THE KICKIN CHICKEN,CHARLESTON,SC,29401,1438,45019,CHARLESTON,1440,LSR - QUICK CASUAL,AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$2,500,001 - $5,000,000",$7 TO $10,NOT APPLICABLE,1263415.3326,1098521.58290523,164893.749694766,152764.962501806,215430.362998766,182942.54016048,437935.851860092,0.4590323119
CHECKERS DRIVE-IN RESTAURANTS,TAMPA,FL,33603,6028,12057,HILLSBOROUGH,8280,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,251-500 UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,301631.4855,252608.830473008,49022.6550269923,47299.5388573265,25846.7425449871,56288.4615424165,82192.6412930591,0.5018507503
GOLDEN CROWN CHINESE RESTAURANT,FLORENCE,SC,29501,5481,45041,FLORENCE,2655,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,256175.386359496,240541.240145355,15634.1462141409,38420.3971235977,49621.4205927081,35671.8610216788,95075.7058050876,0.2205286113
ROCKEFELLERS,LORIS,SC,29569,2473,45051,HORRY,5330,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,39742.9391736492,36264.0659462583,3478.87322739093,4876.79741693152,6406.77307714533,8278.26116151401,14147.721357989,0.9399894582
